id,originalWord,definition,species,example,relation,story,sfw
1,pépite,"gem, masterpiece, used to express that something or someone is really too good to be true","noun, f","Tu vas adorer ce gars, c'est une pépite, je te jure!",fromage au plafond,This might have been the first French word I learned when arriving in France.,yes
2,se faire avoir,"to be fooled, to get tricked, to get bamboozled",proverb,,,,yes
3,être large,"to be fine, to be largely in the clear",proverb,"Il nous reste deux heures, on est large!",,,yes
4,draguer,"to seduce someone, to flirt",verb,Il me drague de ouf.,,"During my first week in France, my roommate told me ""Les mecs du Nord ne savent pas draguer, vous êtes trop feminists."", which translates to ""You guys from the North dont know how to flirt, you're too feminist.""",yes
5,être tarré(e),"to be crazy, out of your mind",proverb,"Mais, t'es tarré!",,"Strangely enough, my boss yelled this at me and we are still good friends.",yes
6,aller en garde à vue,to go into custody,verb,,,,yes
7,se prendre la tête,"overthink things, let something get to you (commonly used when discussing relationships)",proverb,"Ne te prends pas la tête, ça arrive.",,,yes
8,se mettre la rate au court-bouillon,"literally: to put your spleen in a short broth. It means: to worry, to have a cow ",proverb,Je ne veux pas que tu te mettes la rate au court-bouillon.,,"There was a girl I was into, after seeing eachother for some time, it did not work out. When my roommate saw I was a bit sad about that, she hit with this French expression. ",yes
9,balançoire,a swing (the thing you find on playgrounds for kids),"noun, f",,,,yes
10,puceau,a virgin,"noun, m",,pucelle,,yes
11,pucelle,a virgin,"noun, f",,puceau,"In Grenoble there is a mountain called ""the three virgins"" (les trois pucelles), which you can climb. Right next to this mountain there are three villages called Seyssins, Vif and Saillant. There is a joke from Grenoble which goes: ""Il faut grimper les trois pucelles pour voir Seyssins, Vif et Saillant."". Or practically: ""Il faut grimper les trois pucelles pour voir ses seins vifs et saillants."". Which translates to ""You have to climb the three virgins to see their breasts vivedly and outstanding."".",yes
12,arnaque,"a scam, a fraud, a rip-off","noun, m",Un tacos pour 15 balles? C'est un arnaque.,se faire arnaquer,,yes
13,faire deux,literally: that makes two. Used to describe that you don't like something,proverb,Moi et les animaux ça fait deux.,,,yes
14,pipelet(te),"a chatterbox, someone that talks a lot. Not necessarily gossip, but just someone talks a lot in general. ",noun,,bavard(e),,yes
16,avoir un très bon boule,literally: to have a very good ball. Used to say that someone has a rather good-looking buttocks,verb,,,"There was a guy at work - let's call him Mario - about which half the girls at work were talking. Legends told he had a good-looking buttocks. I did not know the guy, never seen him. But some day I crossed someone in the corridor and - honestly by accident - my sight crossed his backside. It was clear to me, I thought ""Ah, that must be the famous Mario"".",no
22,boche,"a kraut. Old offensive term to describe a German, specifically a German soldier during World War I and II. Given that the French already had a war with the Germans in 1870 (the Franco-Prussian war about a small piece of land between the two countries) the French already had this word to insult German soldiers before World War I. Do not use. ","noun, f/m",,,,yes
23,péter plus haut que son cul,"literally: to fart higher than one's arse. To think you are someone really special, to think you know it all. Used to say that someone is quite arrogant. ",proverb,,,,yes
24,taquiner,"to tease, to provoke a bit in a humourous way. Usually between good friends, or two people that are flirting. ",verb,"Arrêtes de me taquiner, tu vas me faire pleurer, je ne t'inviterai plus à mon anniversaire!",s'envoyer des piques,,yes
25,s'envoyer des piques,"literally: to throw barbs at eachother. To make insulting jokes about eachother in a funny way. Usually between good friends, or two that are flirting. ",proverb,Avec ma meilleure pote on s'envoie des piques tout le temps. ,taquiner,,yes
27,être blanc(he) comme un cul,literally: to be as white as a butt-hole. ,proverb,Moi bronzée? Je suis blanche comme un cul!,,When I told my colleague she had a tan after coming back from her holiday she told me she was as white as a butt-hole.,yes
28,désaltérer,to quench thirst #stayhydrated,verb,"Quand on part en rando, c'est important de prendre de quoi se désaltérer avec.",,,yes
32,être piqué(e),literally: to be stung. To be in love. ,proverb,"T'es piquée? Ah ouais c'est sur que t'es piquée, ça se voit dans les yeux!",,I learned this word from an Inoxtag video. One of the first French Youtuber videos I was able to reasonnably understand.,yes
33,se faire traquenarder,"a very specific process during an evening out, where someone that initially did not intend to go out gets convinced to come along anyways. Sometimes subtle but in general quite a blunt process, involving either peer pressure or a revelation that deep down the person did want to escalate and get stupid all along. ",proverb,J'espère que je ne vais pas me faire traquenarder ce soir.,,,yes
36,faillir,to almost do something. ,verb,"J'ai failli tomber, c'est tellement glissant avec la pluie.",,,yes
44,nombril,belly button,"noun, m",,ne pas être le nombril du monde,,yes
46,Excuses-toi mieux,"literally: apologize better. Used either as a joke or for real. As a joke it is teasing and saying that the apology is accepted. When it is for real, someone is really disappointed and angry with what you have done.",expression,Je suis désolé. Haha ouais ouais excuses-toi mieux. ,,,yes
47,morpions,"the crabs, pubic lice","noun, m pl","Gros, ne le dis à personne, mais j'ai les morpions. ",,,no
48,dico,"short for: dictionnaire, dictionary.","noun, m","Comment ça avance ton dico, Joris?",,,yes
52,poser un lapin,literally: to put a rabbit. Used to describe that someone didn't show up. ,proverb,"On avait rendez-vous à 16h, mais il m'a posé un lapin.",,"We had to get the air-conditioner in our apartment checked. The first guy we called never showed up. My roommate had to stay at home, because he was only available during working hours. So she was a bit annoyed that he didn't show up so she said ""Le gars m'a posé un lapin, ça m'énerve."".",yes
54,ta gentillesse te perdra,literally: your kindness will get you lost. Used to say that someone is too kind for this world and their kindness might inflict them pain someday. Sometimes there are people that profit from the kindness of others. ,expression,"Joris, ta gentillesse te perdra.",ça te jouera des tours,Different people told me this several times. It made me doubt myself. In the end I think I'd rather be kind and lost than mean and know that I'm mean. ,yes
58,faire les soldes,to go shopping during discount season (apparently usually the month of July in France),proverb,,chiner,,yes
81,tata,aunt,"noun, f",,tonton,,yes
82,tonton,uncle,"noun, m",,tata,,yes
83,neveu,nephew,"noun, m",,"nièce, cousin",,yes
84,nièce,niece,"noun, f",,"neveu, cousin",,yes
85,cousin,cousin,"noun, f/m",,"neveu, nièce",,yes
470,pangolin,"pangolin, an ant-eater-like animal. Scientifically known as philodatae, in France apparently considered as a source of the Covid-19 pandemic.","noun, m",,,,yes
471,tricoter,to knit,verb,J'aime bien tricoter pendant qu'on papote.,mami,,yes
472,pince-fesses,literally: butt-pincher. Used to describe events where you can meet and mingle with people.,"noun, m","Après la réunion il y aura une apéro, ça sera un peu pince-fesses.",,"One day my boss sent me to a scientific panel discussion for work. He said that after the panel discussion there would be time to do some networking. When he said it would be ""butt-pinching"" I did not understand to what kind of event he was sending me. ",no
473,reprendre du poil de la bête,"to recover, to start to feel better (both mentally and physically)",proverb,"Ah, finallement je commence à reprendre du poil de la bête. Je n'étais pas bien avant. ",,"Say, hypothetically, you would break your wrist,  you would need surgery, and as soon as you get back from that you catch a week-and-a-half of solid flu. You probably would not feel well, but with time you would recover. In that hypothetical case you can say ""je reprends du poil de la bête"".",yes
474,lèche-cul,"literally: a butt-hole-licker. A suck-up, a brown-noser, quite impolite to say to someone. You might prefer to say lèche-bottes. ",noun,,lèche-bottes,,no
475,lèche-bottes,literally: a boot-licker. A suck-up. Slightly less insulting than lèche-cul.,noun,,lèche-cul,,yes
